Net Range,Organization Name,Machines Responding
176.168.0.0 - 176.175.255.255,Pool for APN 2G/3G/4G End users,2
217.113.22.0 - 217.113.23.255,LIR LLC,1
66.170.0.0 - 66.170.31.255,"SupraNet Communications, Inc.",1
190.99.240.0/20,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,1
45.9.191.0 - 45.9.191.255,Hostinger International Limited,1
81.36.0.0 - 81.36.255.255,RIMA (Red IP Multi Acceso),1
115.42.128.0 - 115.42.255.255,SingNet Pte Ltd,1
212.175.176.16 - 212.175.176.31,TurkTelecom,1
65.184.0.0 - 65.191.255.255,Charter Communications Inc,6
5.8.115.0 - 5.8.115.255,TWT-route-5-8-93-0,1
200.198.176.0/20,EQUINIX BRASIL,1
46.105.211.128 - 46.105.211.159,WRM Media Ltd,1
185.241.228.0 - 185.241.231.255,SKKNET.NET Ltd,1
211.52.41.0 - 211.52.41.255 (/24),KT,2
188.120.197.0 - 188.120.199.255,IP4ISP z.s.p.o. network route,1
103.251.148.0 - 103.251.151.255,Quantum Link Communications Pvt. Ltd,1
87.62.96.0 - 87.62.103.255,TDC,1
103.35.109.0 - 103.35.109.255,Ranks ITT,1
45.176.32.0/22,CAÑETE GLADIS ROXANA(ENREDADOS),1
49.176.0.0 - 49.191.255.255,Optus Internet Pty Ltd,1
217.160.133.0 - 217.160.142.255,IONOS SE,1
45.76.62.0 - 45.76.63.255,"Vultr Holdings, LLC",2
80.89.222.0 - 80.89.222.255,"Zurich, Switzerland",1
213.176.2.0 - 213.176.3.255,MM500-NET,1
185.32.28.128 - 185.32.28.191,ADAM DATACENTER,1
90.192.0.0 - 90.223.255.255,Sky UK Limited,1
5.57.39.0 - 5.57.39.255,info@tehrangaming.com,1
122.186.0.0 - 122.186.255.255,Bharti Airtel Limited,1
194.68.112.0 - 194.68.113.255,Internetbolaget Sweden AB,1
192.126.96.0 - 192.126.111.255,Maryland Institute College of Art,2
62.85.0.0 - 62.85.63.255,"Riga, Latvia",1
178.128.96.0 - 178.128.111.255,DIGITALOCEAN,1
195.161.0.0 - 195.161.255.255,JSC RTComm.RU,1
213.204.14.0 - 213.204.14.255,Licensed Telecommunications Operator,1
155.4.0.0 - 155.4.255.255,RIPE Network Coordination Centre,1
104.82.208.0 - 104.82.223.255,"Akamai International, BV",2
140.82.20.0 - 140.82.21.255,"Vultr Holdings, LLC",1
83.20.0.0 - 83.20.255.255,for abuse: abuse@tpnet.pl,1
174.112.0.0 - 174.119.255.255,Rogers Communications Canada Inc.,1
82.166.0.0 - 82.166.255.255,Cellcom Fixed Line Communication L.P,1
103.76.212.0 - 103.76.215.255,route object for 103.76.212.0/22,1
211.0.0.0 - 211.255.255.255,Australia,2
115.126.148.128 - 115.126.148.255,TOYOTA SYSTEMS CORPORATION,1
66.11.224.0 - 66.11.231.255,TNWEB LLC,1
194.209.95.0 - 194.209.95.255,UBN-CH-AGGR.2,1
173.232.37.64 - 173.232.37.95,"Spark Marketing, LLC",1
153.156.0.0/17,Open Computer Network,1
194.74.238.0 - 194.74.238.255,BTnet,1
221.224.0.0 - 221.231.255.255,Beijing 100088,3
87.255.236.0 - 87.255.237.255,KOMTEL,1
41.139.224.0 - 41.139.255.255,For Converged services Coast,1
103.101.176.0 - 103.101.179.255,GNET INC.,1
208.131.160.0 - 208.131.160.255,Kingston Telecom,1
185.248.192.0 - 185.248.193.255,International-Hosting-Solutions-Network-4,1
131.118.0.0 - 131.118.255.255,University of Maryland,9
131.196.112.0/24,REDECOM,1
84.22.117.0 - 84.22.117.255,Routed by Tilaa,1
46.149.74.0 - 46.149.74.255,VDSINA-NET,1
212.133.61.32 - 212.133.61.47,Level 3 RIPE block,1
175.211.255.128 - 175.211.255.255 (/25),KT,1
93.179.208.0 - 93.179.208.255,TKP S.A. LIR,1
174.136.204.0 - 174.136.207.255,DMIT Cloud Services,2
212.46.33.0 - 212.46.33.255,UAB Revonia,1
94.241.130.0 - 94.241.131.255,Melbikomas UAB,1
216.45.64.0 - 216.45.95.255,"GVEC.net, LLC",1
104.81.240.0 - 104.81.243.255,"Akamai International, BV",2
2.18.128.0 - 2.18.143.255,Akamai Technologies,3
149.81.0.0 - 149.81.255.255,RIPE Network Coordination Centre,4
188.95.46.0 - 188.95.46.255,Gigaclear,1
189.157.243.0/24,Gestión de direccionamiento UniNet,1
95.80.209.192 - 95.80.209.255,"Dial Telecom, a.s.",1
84.247.2.0 - 84.247.3.255,IPv4 address block not managed by the RIPE NCC,1
170.130.13.0 - 170.130.13.255,galaxiehost.com,1
150.95.168.0 - 150.95.169.255,"GMO Internet Group, Inc.",1
81.248.43.0 - 81.248.43.255,Wanadoo France,1
142.227.0.0 - 142.227.255.255,Canadian Department of Education,1
212.26.146.0 - 212.26.146.31,Adamant LLC Customers,1
213.176.96.0 - 213.176.111.255,us-sammu-1,1
212.32.224.0 - 212.32.255.255,LeaseWeb Netherlands B.V.,1
213.238.59.0 - 213.238.59.255,Wieske's Crew KG,1
182.186.0.0 - 182.186.255.255,Pakistan Telecommuication company limited,2
64.41.156.0 - 64.41.159.255,"Justia, Inc.",2
87.231.176.0 - 87.231.191.255,End-User NUMERICABLE,1
81.62.128.0 - 81.62.255.255,Swisscom (Schweiz) AG - Bluewin,1
103.127.204.0 - 103.127.207.255,"The 1st Floor, 61 Me Tri Thuong, Me Tri Ward, Nam Tu Liem, Hanoi",1
178.18.240.0 - 178.18.247.255,CONTABO,1
121.129.230.192 - 121.129.230.255 (/26),Korea Telecom,1
83.255.128.0 - 83.255.191.255,SE-COMHEM,1
119.164.0.0 - 119.167.255.255,CNC Group CHINA169 Shandong Province Network,2
124.146.220.0 - 124.146.220.255,Server Hosting Service,1
187.191.0.0/18,TOTAL PLAY TELECOMUNICACIONES SA DE CV,1
190.171.128.0/18,CTC. CORP S.A. (TELEFONICA EMPRESAS),1
15.204.134.128 - 15.204.134.255,OVH US LLC,1
88.209.202.0 - 88.209.202.255,Private Customer,1
213.226.124.0 - 213.226.125.255,TimeWeb Ltd.,1
196.6.104.0 - 196.6.104.15,Access Point Technologies cc,1
80.250.128.0 - 80.250.129.255,Aareon Deutschland GmbH,1
192.0.64.0 - 192.0.127.255,"Automattic, Inc",4
184.8.0.0 - 184.15.255.255,"Frontier Communications of America, Inc.",4
96.89.32.0 - 96.89.63.255,"Comcast Cable Communications, LLC",1
43.242.200.0 - 43.242.203.255,HK JIUJIUIDC TECHNOLOGY LIMITED,1
92.223.124.0 - 92.223.124.255,GCL-92-223-124,1
62.216.248.192 - 62.216.248.223,Route originated by TelecityGroup,1
210.14.142.0 - 210.14.142.255,"Hai Dian District,Beijing,China 100084",1
92.239.163.0 - 92.239.163.255,VIRGIN-MEDIA-UK-IP-BLOCK,1
142.234.200.0 - 142.234.203.255,"LeaseWeb USA, Inc. New York",1
62.33.32.0 - 62.33.32.255,Superaggreagate,1
61.220.44.0 - 61.220.44.255,Taipei Taiwan,1
185.228.136.0 - 185.228.137.255,netcup GmbH,1
139.64.0.0 - 139.64.127.255,RIPE Network Coordination Centre,1
93.159.200.0 - 93.159.203.255,Hosting Systems Ltd,1
89.166.8.0 - 89.166.15.255,DNA Oy,1
83.147.24.0 - 83.147.27.255,Digital Value SL,1
82.165.176.0 - 82.165.177.255,IONOS SE,1
72.17.0.0 - 72.17.127.255,"Charter Communications, Inc",1
87.238.168.0 - 87.238.168.255,illian.networks routes,1
64.202.160.0 - 64.202.191.255,"GoDaddy.com, LLC",2
66.84.128.0 - 66.84.255.255,Windstream Communications LLC,1
66.188.176.0 - 66.188.191.255,Charter Communications,1
179.189.16.0/20,MOTTANET  TI  - SERVICOS  DE TECNOLOGIA DA INFO,1
192.34.80.0 - 192.34.87.255,AxcelX Technologies LLC,1
212.108.32.0 - 212.108.63.255,mmc kommunikationstechnologie gmbh,1
155.139.0.0 - 155.139.255.255,"Tenet HealthSystem Medical, Inc.",1
131.150.84.0 - 131.150.129.255,Charter Communications,1
85.233.202.160 - 85.233.202.191,Route Originated By Telecity Group France,1
212.66.118.0 - 212.66.123.255,"Giuliano Claudio Peritore trading as ""Panservice s.a.s. di Cuseo Fabrizio & C.""",1
65.254.224.0 - 65.254.255.255,"Newfold Digital, Inc.",3
31.14.40.0 - 31.14.42.255,Data Room SRL,1
23.59.84.0 - 23.59.87.255,"Akamai International, BV",1
121.142.247.16 - 121.142.247.31 (/28),Bucheonsicheong,1
209.237.155.0 - 209.237.155.255,"Web.com Group, Inc.",1
90.34.29.0 - 90.34.29.255,France Telecom IP2000-ADSL-BAS,1
117.216.0.0 - 117.217.255.255,Bharat Sanchar Nigam Ltd,3
5.249.155.0 - 5.249.155.255,Aruba S.p.A. Network,1
89.145.64.0 - 89.145.127.255,NTT Global Data Centers EMEA UK Ltd.,1
162.250.200.0 - 162.250.203.255,Turnkey Internet Inc.,5
51.68.186.208 - 51.68.186.223,Christoph Meironke,1
181.39.132.16/29,Clientes Quito,1
91.184.48.0 - 91.184.55.255,Kolido ISP SL Unipersonal,2
195.69.164.0 - 195.69.167.255,NETFINITY JSC,1
89.212.9.0 - 89.212.9.255,T-2 d.o.o.,1
78.153.214.0 - 78.153.215.255,IE-BLACKNIGHT-NET2-PA,1
71.96.0.0 - 71.127.255.255,Verizon Business,7
185.157.200.0 - 185.157.203.255,Nanoq Media,1
24.144.64.0 - 24.144.127.255,"DigitalOcean, LLC",1
189.146.83.0/24,Gestión de direccionamiento UniNet,1
103.27.110.0 - 103.27.111.255,Hong Kong San Ai Net Int'l Limited,1
5.253.181.0 - 5.253.181.255,We Provide Lda,1
45.32.228.0 - 45.32.231.255,"Vultr Holdings, LLC",1
37.192.200.0 - 37.192.207.255,Novotelecom Ltd.,1
89.58.16.0 - 89.58.19.255,AT-NETCUP-01,1
83.222.2.0 - 83.222.3.255,Masterhost is a hosting and technical support organization.,1
216.128.136.0 - 216.128.137.255,"Vultr Holdings, LLC",1
85.25.203.59 - 85.25.203.59,on client s request,1
175.100.16.0 - 175.100.31.255,"VIETTEL (CAMBODIA) PTE., LTD.",1
203.239.0.0 - 203.239.127.255 (/17),Sejong Telecom,3
23.34.176.0 - 23.34.191.255,"Akamai International, BV",1
185.15.41.0 - 185.15.41.255,Aerotek Bilisim Sanayi ve Ticaret AS,1
101.51.0.0 - 101.51.255.255,TOT Public Company Limited,1
72.44.74.120 - 72.44.79.255,MULTACOM CORPORATION,1
77.239.130.0 - 77.239.130.255,TWT Route Object-77,1
107.191.32.0 - 107.191.63.255,"The Constant Company, LLC",1
101.78.128.0 - 101.78.255.255,HKBN Enterprise Solutions HK Limited,1
23.92.224.0 - 23.92.255.255,OVH US LLC,1
104.156.32.0 - 104.156.39.255,Plateau Telecommunications Incorporated,1
206.40.96.0 - 206.40.127.255,NetNet,1
189.186.122.0/24,Gestión de direccionamiento UniNet,1
66.173.128.0 - 66.173.255.255,Windstream Communications LLC,1
2.19.100.0 - 2.19.103.255,Akamai Technologies,1
186.96.128.0/18,TOTAL PLAY TELECOMUNICACIONES SA DE CV,2
46.109.129.0 - 46.109.255.255,LATTELEKOM,1
189.126.88.0/22,GOMES & TOMAZETTI LTDA ME,1
80.70.184.0 - 80.70.184.255,VEGASYSTEMS-NET-1,1
51.68.144.0 - 51.68.147.255,OVH Sp. z o. o.,1
188.116.128.0 - 188.116.191.255,"""Resurs-Svyaz"" Ltd",1
169.197.80.0 - 169.197.95.255,PureVoltage Hosting Inc.,2
154.91.101.0 - 154.91.101.255,Tcloudnet Inc,1
54.88.0.0 - 54.88.255.255,"Amazon.com, Inc.",9
209.34.160.0 - 209.34.191.255,"Newfold Digital, Inc.",1
204.152.46.0 - 204.152.47.255,"New York Independent System Operator, Inc.",2
190.11.212.0/22,SPEED NETWORK TELECOM LTDA,1
106.104.64.0 - 106.104.127.255,Taipei Taiwan,2
107.151.221.0 - 107.151.221.7,xuetan,1
149.18.0.0 - 149.18.255.255,LogicWeb Inc.,4
185.199.82.0 - 185.199.83.255,tirolnet-2,1
109.228.96.0 - 109.228.127.255,Crnogorski Telekom A.D. Podgorica,1
98.96.192.0 - 98.96.255.255,Zenlayer Inc,2
14.0.32.0 - 14.0.63.255,CDNetworks,1
31.145.0.0 - 31.145.255.255,Vodafone Net Iletisim Hizmetler AS,1
194.195.112.0 - 194.195.127.255,"Linode, LLC",2
217.145.238.0 - 217.145.238.255,CreeperHost LTD,1
178.134.0.0 - 178.134.200.255,"JSC ""Silknet""",1
154.205.109.0 - 154.205.109.255,ADA Digital Global Inc,1
31.42.136.0 - 31.42.143.255,EANCENTER TELECOM LLC,2
45.145.186.0 - 45.145.187.255,DediPath LLC,1
108.61.224.0 - 108.61.224.255,"Vultr Holdings, LLC",1
181.89.212.0/23,Telecom Personal Bs As,1
192.40.240.0 - 192.40.243.255,Megawire Inc.,1
93.113.30.0 - 93.113.30.255,GTS Telecom SRL,1
198.7.32.0 - 198.7.55.255,Alliant Energy,3
23.19.236.0 - 23.19.239.255,"LeaseWeb USA, Inc. Los Angeles",1
156.214.0.0 - 156.214.255.255,African Network Information Center,1
80.94.224.0 - 80.94.226.255,DELEGATED FROM IPTEL,1
74.234.0.0 - 74.235.255.255,Microsoft Corporation,4
212.109.183.0 - 212.109.183.255,PODA-NET,1
213.216.0.0 - 213.216.31.255,VISTEC Internet Service GmbH,1
104.84.60.0 - 104.84.63.255,"Akamai International, BV",2
188.126.96.0 - 188.126.119.255,Copaco Cloud B.V.,1
103.0.0.0 - 103.255.255.255,Australia,3
212.132.192.0 - 212.132.255.255,Community Fibre Limited,2
120.136.10.0 - 120.136.10.255,XSERVER Inc.,1
223.165.24.0 - 223.165.24.255,Times Internet Ltd,1
118.102.10.0 - 118.102.10.255,Forewin Telecom Group Limited,1
75.138.224.0 - 75.138.255.255,Charter Communications,1
190.152.44.0/24,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,1
103.75.13.0 - 103.75.13.255,"UNIT 04,7/F,BRIGHT WAY,TOWER NO. 33 MONG KOK ROAD, Kowloon Hong Kong",1
12.15.88.0 - 12.15.95.255,"AT&T Services, Inc.",1
46.245.0.0 - 46.245.63.255,Hamara System Tabriz Engineering Company,1
64.57.64.0 - 64.57.95.255,"Omnis Network, LLC",7
119.59.96.0 - 119.59.127.255,"Metrabyte Co.,Ltd",1
201.127.0.0/16,UNINET,1
95.100.244.0 - 95.100.247.255,Akamai Technologies,1
31.25.12.0 - 31.25.15.255,Hulk AG,1
77.234.230.0 - 77.234.230.255,DSi DATA (SK),1
87.74.228.0 - 87.74.231.255,BIGFELLA_TRANSIT-SOUTH,1
80.147.0.0 - 80.147.255.255,Deutsche Telekom AG,2
176.127.128.0 - 176.127.255.255,Swisscom (Schweiz) AG - Bluewin,1
104.219.136.0 - 104.219.143.255,Rock Solid Internet & Telephone,1
64.31.96.0 - 64.31.127.255,TPx Communications,1
108.179.192.0 - 108.179.255.255,WEBSITEWELCOME.COM,6
157.241.0.0 - 157.241.255.255,Amazon Data Services Bahrain,1
24.205.160.0 - 24.205.191.255,Charter Communications,1
202.98.250.40 - 202.98.250.79,"Tibet-naqu ,rangmuzhang road 69, jiari -hotel",1
139.217.0.0 - 139.217.255.255,Asia Pacific Network Information Centre,1
85.124.47.0 - 85.124.47.255,Magenta Telekom,1
23.50.176.0 - 23.50.191.255,"Akamai International, BV",2
154.207.252.0 - 154.207.252.255,StepGo Limited,1
70.37.192.0 - 70.37.223.255,CENCOM INC,2
104.219.52.0 - 104.219.53.255,"Atlantic.net, Inc.",1
154.85.1.0 - 154.85.1.255,Huracan Sig Limited,1
71.15.160.0 - 71.15.175.255,Charter Communications,1
80.237.128.0 - 80.237.130.255,Host Europe GmbH,1
209.33.0.0 - 209.33.127.255,Cebridge Connections,2
178.159.44.0 - 178.159.44.255,Aktivnie Tehnologii LLC,2
164.128.133.160 - 164.128.133.191,Swisscom IP-Plus Backbone,1
86.9.132.0 - 86.9.135.255,TILBURY,2
50.215.64.0 - 50.215.127.255,"Comcast Cable Communications, LLC",1
51.91.132.0 - 51.91.135.255,OVH SAS,1
103.29.0.0 - 103.29.1.255,SUN-VN,1
178.124.144.161 - 178.124.144.161,"CHASTNOE PREDPRIYATIE ""LAYKYUJN""",1
50.56.0.0 - 50.56.147.255,Rackspace Hosting,1
207.38.72.0 - 207.38.79.255,"Icon Enterprises, Inc.",5
202.51.9.0 - 202.51.9.255,"CLARA ONLINE, Inc.",1
201.219.64.0/19,Cooperativa Telefónica Pinamar Ltda.,1
192.119.32.0 - 192.119.47.255,WNM Communications,1
116.63.0.0 - 116.63.255.255,"Shenzhen,Guangdong Province, 518129 P.R.China",2
195.205.221.252 - 195.205.221.255,for abuse: abuse@tpnet.pl,1
193.106.180.0 - 193.106.183.255,Accademia Europea di Bolzano,1
114.116.0.0 - 114.116.255.255,"Shenzhen,Guangdong Province, 518129 P.R.China",5
83.64.0.0 - 83.65.255.255,T-Mobile Austria GmbH,1
139.99.68.0 - 139.99.69.255,OVH Singapore PTE. LTD,1
109.125.134.16 - 109.125.143.255,PTS-Network,1
78.158.232.0 - 78.158.239.255,"Telenor Nordic, Norway",1
157.122.0.0 - 157.122.255.255,Asia Pacific Network Information Centre,2
107.173.181.0 - 107.173.181.255,RackNerd LLC,1
102.130.64.0 - 102.130.71.255,Angola Cables,1
74.127.128.0 - 74.127.191.255,Arvig Enterprises Inc.,2
2.179.164.0 - 2.179.167.255,Data Office of qom for adsl users,1
81.200.240.0 - 81.200.242.255,Zolotaya Linia Ltd,1
23.63.144.0 - 23.63.147.255,"Akamai International, BV",1
51.91.96.0 - 51.91.99.255,OVH SAS,1
62.3.12.128 - 62.3.12.255,STARK INDUSTRIES SOLUTIONS LTD.,1
68.113.0.0 - 68.113.31.255,Charter Communications,2
109.69.190.0 - 109.69.190.255,Datacampus,1
185.14.157.0 - 185.14.157.255,Netskin Switzerland,1
64.15.128.0 - 64.15.159.255,iWeb Technologies Inc.,1
212.25.172.0 - 212.25.177.255,Seeweb srl,1
139.198.0.0 - 139.198.255.255,Asia Pacific Network Information Centre,3
103.42.36.0 - 103.42.39.255,"ASIA POKTIN TECHNOLOGY CO.,LIMITED",2
145.239.223.128 - 145.239.223.143,Roca sylvain,1
220.112.192.0 - 220.112.207.255,"GreatWall Broadband Network Service Co., Ltd. Shenzhen Branch",1
209.164.184.0 - 209.164.191.255,GTA Teleguam,1
93.91.32.0 - 93.91.47.255,Wireless Logic Limited,1
154.222.238.0 - 154.222.238.255,Longteng Cloud Technology Limited,1
210.95.196.0 - 210.95.235.255 (/19+/21),Korea Telecom,1
109.190.0.0 - 109.190.63.255,OVH Telecom,1
180.43.154.104 - 180.43.154.111,EMS CORPORATION,1
185.136.219.0 - 185.136.219.255,Interna4,1
67.159.224.0 - 67.159.255.255,Latin American and Caribbean IP address Regional Registry,2
5.105.236.0 - 5.105.236.255,TRINITY,1
27.0.156.0 - 27.0.159.255,JINXI TECHNOLOGY LIMITED,2
141.219.0.0 - 141.219.255.255,Michigan Technological University,5
189.172.90.0/24,Gestión de direccionamiento UniNet,1
160.19.52.0 - 160.19.55.255,Equantech Corporation,1
75.140.0.0 - 75.140.31.255,Charter Communications,1
45.77.160.0 - 45.77.161.255,"Vultr Holdings, LLC",1
61.219.144.0 - 61.219.144.255,Taipei Taiwan,1
162.223.200.0 - 162.223.203.255,"Cybera, Inc.",1
91.227.63.0 - 91.227.67.255,Klikom.net Sp.z o.o.,1
140.249.0.0 - 140.249.255.255,Asia Pacific Network Information Centre,3
216.108.224.0 - 216.108.239.255,ServerPoint.com,1
68.108.0.0 - 68.108.127.255,Cox Communications Inc.,1
2.18.64.0 - 2.18.79.255,Akamai Technologies,2
141.117.0.0 - 141.117.255.255,RYERSON UNIVERSITY,1
216.154.0.0 - 216.154.191.255,TekSavvy Solutions Inc.,3
147.134.0.0 - 147.134.255.255,Creighton University,1
216.189.0.0 - 216.189.127.255,High Speed Web/Genesis 2 Networks,2
194.71.100.0 - 194.71.103.255,Internetbolaget Sweden AB,1
162.213.80.0 - 162.213.83.255,Callidus Software Inc.,1
204.87.227.0 - 204.87.227.255,"Micro Firmware, Inc.",1
85.22.57.0 - 85.22.57.255,DOKOM Gesellschaft fuer Telekommunikation mbH,1
211.248.215.0 - 211.248.215.255 (/24),KT,1
213.58.148.152 - 213.58.148.159,ONITELECOM IP Address,1
172.245.113.0 - 172.245.113.255,Hudson Valley Host,1
45.117.168.0 - 45.117.171.255,Vietnam Internet Network Information Center (VNNIC),1
45.169.92.0/22,GRUPO GTD PERU S.A.C.,1
192.186.112.0 - 192.186.127.255,COGECO COMMUNICATIONS INC.,1
221.151.31.0 - 221.151.31.255 (/24),Korea Telecom,1
45.112.74.0 - 45.112.74.255,FibreNet Communications Ltd.,2
23.14.0.0 - 23.14.15.255,"Akamai International, BV",1
82.64.0.0 - 82.64.114.255,"Paris, France",2
74.82.192.0 - 74.82.223.255,Cluster Logic Inc,1
24.177.224.0 - 24.177.239.255,Charter Communications,1
192.40.32.0 - 192.40.39.255,Index Exchange Inc.,2
177.127.0.0/16,Claro NXT Telecomunicacoes Ltda,3
142.52.0.0 - 142.52.255.255,B.C. Hydro,1
154.91.58.0 - 154.91.58.255,Longteng Cloud Technology Limited,1
77.45.83.0 - 77.45.83.255,ASTA-NET,1
64.255.192.0 - 64.255.223.255,Evoque Data Center Solutions,1
103.217.240.0 - 103.217.243.255,Route Object,1
185.151.9.224 - 185.151.9.227,Alpha Domein Development LTD,1
195.135.0.0 - 195.135.127.255,SEWAN SAS,1
104.153.192.0 - 104.153.195.255,Connectria,3
209.140.192.0 - 209.140.255.255,Hope College,1
190.45.0.0/16,VTR BANDA ANCHA S.A.,1
138.108.0.0 - 138.108.255.255,Nielsen Consumer LLC,1
190.106.80.0/21,MM Comunicaciones S.A,1
175.192.0.0 - 175.215.255.255 (/12+/13),Korea Telecom,1
45.153.89.0 - 45.153.89.127,CH-MERCATA-01,1
66.63.224.0 - 66.63.255.255,"Industry I-Net, Inc.",1
95.56.56.0 - 95.56.63.255,Kazakhtelecom Data Network Administration,2
154.194.60.0 - 154.194.60.255,EMX Servers,1
90.176.32.0 - 90.183.255.255,"O2 Czech Republic, a.s.",1
208.76.80.0 - 208.76.87.255,"TotalChoice Hosting, LLC",2
45.0.0.0 - 45.255.255.255,for more information about that range.,1
200.182.57.176/28,TELEHELP SISTEMAS DE ATENDIMENTO EMERGENCIAL S.A.,1
66.165.92.128 - 66.165.92.255,"Advanced Online Solutions, Inc.",1
45.14.194.0 - 45.14.194.255,Contabo GmbH,1
202.137.225.0 - 202.137.225.255,"Situ Gede Sindang Barang, Bogor",1
5.178.96.0 - 5.178.111.255,ahbr company limited,1
212.60.12.0 - 212.60.17.255,Wired ISP Inc.,1
62.217.120.0 - 62.217.120.255,National Infrastructures for Research and Technology S.A.,1
211.181.254.0 - 211.181.254.255 (/24),LG Uplus,1
164.55.240.0 - 164.55.255.255,"FactSet Research Systems, Inc.",1
179.63.124.0/22,Fastway Telecom Comunicacoes - EIRELI,1
200.108.191.0/24,DESTEFANI JOSE LUIS,1
152.32.128.0 - 152.32.255.255,Asia Pacific Network Information Centre,1
71.25.0.0 - 71.25.63.255,"Comcast Cable Communications, LLC",1
24.176.192.0 - 24.176.207.255,Charter Communications,1
190.192.0.0/15,Telecom Argentina S.A.,2
222.75.151.192 - 222.75.151.199,HTZQXHDJYYB,1
144.86.200.0 - 144.86.203.255,SWBC,1
125.68.186.64 - 125.68.186.79,PR China,2
170.187.128.0 - 170.187.255.255,Linode,5
222.108.78.0 - 222.108.78.255 (/24),Sudogwonseobubonbu,1
197.90.160.0 - 197.90.191.255,Dimension Data,1
31.209.137.0 - 31.209.137.255,Hringdu Routes,1
70.158.0.0 - 70.159.255.255,AT&T Corp.,1
121.128.215.0 - 121.128.215.255 (/24),(sa)jeongukeunhaengyeonhaphoe,1
216.59.96.0 - 216.59.127.255,"Allied Telecom Group, LLC",1
90.212.0.0 - 90.213.255.255,Sky Broadband,1
45.82.28.0 - 45.82.28.255,AWESOME-PROJECTS-SRL,1
78.192.0.0 - 78.255.255.255,Free SAS,1
149.28.142.0 - 149.28.143.255,"Vultr Holdings, LLC",1
50.31.78.0 - 50.31.78.255,BigScoots,1
2.200.0.0 - 2.203.255.255,Vodafone GmbH,1
162.255.84.0 - 162.255.87.255,IONOS Inc.,1
132.219.0.0 - 132.219.255.255,Reseau d'Informations Scientifiques du Quebec (RISQ Inc.),1
209.15.0.0 - 209.15.63.255,Aptum Technologies,2
96.95.128.0 - 96.95.159.255,"Comcast Cable Communications, LLC",1
190.121.224.0/20,Corporacion Digitel C.A.,1
104.232.16.0 - 104.232.31.255,HighWire Press Inc,4
200.169.128.0/17,V tal,1
181.112.0.0/16,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,1
27.126.192.0 - 27.126.255.255,NEXUSGUARD LIMITED,3
75.137.128.0 - 75.137.143.255,Charter Communications,1
167.154.0.0 - 167.154.255.255,State of Nevada,1
119.64.0.0 - 119.71.255.255,LG POWERCOMM,2
141.94.154.0 - 141.94.154.255,OVH SAS,1
176.34.248.0 - 176.34.255.255,DUB7 EC2,1
154.214.116.0 - 154.214.116.255,Starbow Ltd,1
43.245.40.0 - 43.245.43.255,Squiz Pty Ltd,1
37.187.180.0 - 37.187.180.255,OVH,1
199.119.128.0 - 199.119.131.255,"Zultys, Inc.",2
194.250.110.96 - 194.250.110.127,Orange Business Services,1
129.67.0.0 - 129.67.255.255,RIPE Network Coordination Centre,1
103.71.225.0 - 103.71.225.255,Lemahabang - Bekasi 17550,1
209.152.6.0 - 209.152.6.255,Quinlan ISD,1
74.127.3.0 - 74.127.3.255,"Advanced Online Solutions, Inc.",1
154.197.238.0 - 154.197.238.255,"Shenzhen Jizhan Technology Co., Ltd.",1
31.148.132.0 - 31.148.133.255,Satelit Vizual s.r.l.,1
188.225.44.0 - 188.225.47.255,TW-VDS,1
37.46.132.0 - 37.46.135.255,"JSC ""Server""",1
143.255.0.0 - 143.255.255.255,Latin American and Caribbean IP address Regional Registry,4
121.160.77.0 - 121.160.77.255 (/24),Korea Telecom,1
45.180.84.0/22,AN TELECOM,1
199.241.184.0 - 199.241.191.255,"Centrilogic, Inc.",1
209.182.192.0 - 209.182.215.255,"InMotion Hosting, Inc.",10
202.59.234.0 - 202.59.235.255,MORSE,1
45.135.238.0 - 45.135.239.255,IPv4 Superhub Limited,1
162.246.16.0 - 162.246.23.255,"Interserver, Inc",1
50.31.98.0 - 50.31.99.255,BigScoots,1
64.39.192.0 - 64.39.223.255,KwiKom Communications,1
45.130.92.0 - 45.130.95.254,PURTEL-DIAL-IN-HH,1
107.128.0.0 - 107.143.255.255,AT&T Corp.,4
41.75.208.0 - 41.75.215.255,Route to Airtel TZ,1
150.95.128.0 - 150.100.255.255,Japan Network Information Center,1
144.203.0.0 - 144.203.255.255,BARRA,1
37.77.104.0 - 37.77.107.255,TimeWeb Ltd.,1
8.8.246.0 - 8.8.247.255,ASPnix,1
203.201.132.0 - 203.201.138.255,ECN Pty Ltd DSL WAN RANGE2,1
123.136.48.0 - 123.136.63.255,Escapenet Pty Ltd,2
36.237.0.0 - 36.237.255.255,Taipei Taiwan,2
180.215.32.0 - 180.215.63.255,CTG Server Ltd.,2
87.117.98.0 - 87.117.111.255,Soluciones Corporativas IP (SCIP),1
5.23.96.0 - 5.23.103.255,MAXnet Systems Ltd.,1
193.29.38.0 - 193.29.38.255,360 Treasury Systems AG,1
200.93.64.0/19,"CANTV Servicios, Venezuela",1
221.146.54.0 - 221.146.54.255 (/24),KT,1
178.253.0.0 - 178.253.7.255,SILVERHILL GROUP HOLDING LTD,1
178.88.32.0 - 178.88.47.255,Kazakhtelecom Data Network Administration,1
185.124.233.0 - 185.124.233.255,Cows Online GmbH,1
